R_fighter                 ,B_fighter                 ,R_record  ,B_record  ,Rematch ,R_KD ,B_KD ,R_SIG_STR. ,B_SIG_STR. ,R_TOTAL_STR. ,B_TOTAL_STR. ,R_TD     ,B_TD     ,R_SUB_ATT ,B_SUB_ATT ,R_CTRL ,B_CTRL ,R_HEAD  ,B_HEAD  ,win_by                  ,last_round ,last_round_time ,Format               ,date      ,Fight_type         ,Winner
Aljamain Sterling         ,Sean O'Malley             ,23_3_0    ,16_1_0    ,False   ,   0 ,   1 ,17_35      ,25_35      ,24_46        ,26_36        ,0 of 2   ,0 of 0   ,        0 ,        0 ,    34 ,    18 ,3_12    ,18_25   ,KO/TKO                  ,         2 ,             51 ,5 Rnd (5-5-5-5-5)    ,19-Aug-23 ,Men's Title Bout   ,Sean O'Malley
Chris Weidman             ,Brad Tavares              ,15_6_0    ,19_9_0    ,False   ,   0 ,   0 ,37_92      ,70_115     ,39_94        ,71_116       ,0 of 8   ,0 of 0   ,        0 ,        0 ,    81 ,     0 ,30_77   ,21_61   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Men's Bout         ,Brad Tavares
Neil Magny                ,Ian Garry                 ,28_11_0   ,12_0_0    ,False   ,   0 ,   0 ,27_66      ,91_150     ,51_93        ,111_171      ,0 of 2   ,2 of 2   ,        0 ,        0 ,    70 ,   152 ,10_41   ,32_90   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Men's Bout         ,Ian Garry
Marlon Vera               ,Pedro Munhoz              ,20_8_1    ,20_7_0    ,False   ,   0 ,   0 ,141_251    ,113_246    ,141_251      ,113_246      ,0 of 1   ,0 of 1   ,        0 ,        0 ,     0 ,     0 ,109_212 ,53_177  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Men's Bout         ,Marlon Vera
Zhang Weili               ,Amanda Lemos              ,23_3_0    ,13_2_1    ,False   ,   1 ,   0 ,163_217    ,24_63      ,296_358      ,29_68        ,6 of 7   ,0 of 0   ,        0 ,        2 ,   967 ,    34 ,106_150 ,19_57   ,Decision - Unanimous    ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,19-Aug-23 ,Women's Title Bout ,Zhang Weili
Da'Mon Blackshear         ,Mario Bautista            ,14_5_1    ,12_2_0    ,False   ,   0 ,   0 ,90_174     ,79_137     ,108_192      ,102_161      ,4 of 7   ,2 of 10  ,        0 ,        1 ,   180 ,   244 ,48_123  ,48_103  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Men's Bout         ,Mario Bautista
Gregory Rodrigues         ,Denis Tiuliulin           ,13_5_0    ,10_7_0    ,False   ,   0 ,   0 ,5_6        ,2_7        ,6_8          ,3_8          ,1 of 2   ,0 of 0   ,        0 ,        0 ,    47 ,     0 ,4_5     ,2_7     ,KO/TKO                  ,         1 ,            103 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Men's Bout         ,Gregory Rodrigues
Kurt Holobaugh            ,Austin Hubbard            ,20_7_0    ,16_6_0    ,False   ,   0 ,   0 ,61_119     ,44_107     ,85_144       ,61_125       ,0 of 0   ,2 of 6   ,        2 ,        0 ,    68 ,   143 ,46_101  ,25_86   ,Submission              ,         2 ,            159 ,3 Rnd + OT (5-5-5-5) ,19-Aug-23 ,Men's Bout         ,Kurt Holobaugh
Andre Petroski            ,Gerald Meerschaert        ,9_3_0     ,35_16_0   ,False   ,   1 ,   0 ,57_132     ,76_149     ,67_143       ,92_166       ,2 of 5   ,1 of 3   ,        0 ,        0 ,   126 ,   114 ,39_114  ,65_135  ,Decision - Split        ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Men's Bout         ,Andre Petroski
Karine Silva              ,Maryna Moroz              ,16_4_0    ,11_4_0    ,False   ,   1 ,   0 ,30_53      ,16_55      ,52_76        ,25_66        ,1 of 1   ,0 of 0   ,        1 ,        0 ,    51 ,   101 ,15_31   ,8_41    ,Submission              ,         1 ,            299 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Women's Bout       ,Karine Silva
Andrea Lee                ,Natalia Silva             ,13_7_0    ,15_5_1    ,False   ,   0 ,   0 ,43_125     ,70_174     ,43_125       ,70_174       ,0 of 0   ,0 of 0   ,        0 ,        0 ,     0 ,     0 ,12_74   ,34_111  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,19-Aug-23 ,Women's Bout       ,Natalia Silva
Brad Katona               ,Cody Gibson               ,14_2_0    ,20_8_0    ,False   ,   0 ,   0 ,160_311    ,164_268    ,173_327      ,169_273      ,0 of 2   ,0 of 1   ,        0 ,        0 ,     0 ,     0 ,116_254 ,130_228 ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd + OT (5-5-5-5) ,19-Aug-23 ,Men's Bout         ,Brad Katona
Khalil Rountree Jr.       ,Chris Daukaus             ,12_5_0    ,12_6_0    ,False   ,   1 ,   0 ,16_24      ,8_21       ,16_24        ,14_28        ,0 of 0   ,0 of 1   ,        0 ,        0 ,    31 ,     4 ,12_19   ,6_19    ,KO/TKO                  ,         1 ,            160 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Khalil Rountree Jr.
Terrance McKinney         ,Mike Breeden              ,14_6_0    ,11_5_0    ,False   ,   0 ,   0 ,30_47      ,1_5        ,30_47        ,1_5          ,0 of 2   ,0 of 1   ,        0 ,        0 ,     3 ,     0 ,23_36   ,0_4     ,KO/TKO                  ,         1 ,             85 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Terrance McKinney
AJ Dobson                 ,Tafon Nchukwi             ,6_2_0     ,6_3_0     ,False   ,   0 ,   0 ,67_134     ,53_99      ,98_176       ,59_106       ,2 of 3   ,0 of 0   ,        0 ,        0 ,   273 ,     0 ,19_75   ,11_47   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,AJ Dobson
Cub Swanson               ,Hakeem Dawodu             ,28_13_0   ,13_3_1    ,False   ,   0 ,   0 ,77_156     ,95_176     ,107_195      ,129_224      ,1 of 2   ,0 of 0   ,        0 ,        0 ,    85 ,   190 ,41_112  ,41_104  ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Cub Swanson
JP Buys                   ,Marcus McGhee             ,9_5_0     ,7_1_0     ,False   ,   0 ,   1 ,4_30       ,7_13       ,4_30         ,7_13         ,0 of 1   ,0 of 0   ,        0 ,        0 ,     0 ,     5 ,2_22    ,6_11    ,KO/TKO                  ,         1 ,            139 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Marcus McGhee
Vicente Luque             ,Rafael Dos Anjos          ,21_9_1    ,32_14_0   ,False   ,   0 ,   0 ,72_141     ,66_136     ,138_221      ,94_170       ,8 of 11  ,2 of 7   ,        0 ,        1 ,   721 ,   234 ,48_115  ,42_108  ,Decision - Unanimous    ,         5 ,            300 ,5 Rnd (5-5-5-5-5)    ,12-Aug-23 ,Men's Bout         ,Vicente Luque
Josh Fremd                ,Jamie Pickett             ,10_5_0    ,13_9_0    ,False   ,   0 ,   0 ,31_80      ,14_52      ,59_109       ,26_67        ,0 of 3   ,2 of 3   ,        2 ,        0 ,   435 ,   181 ,11_49   ,4_31    ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Josh Fremd
Da'Mon Blackshear         ,Jose Johnson              ,13_5_1    ,15_7_0    ,False   ,   0 ,   0 ,18_30      ,8_12       ,30_46        ,16_21        ,2 of 4   ,0 of 0   ,        1 ,        0 ,   177 ,     0 ,7_16    ,4_7     ,Submission              ,         1 ,            227 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Da'Mon Blackshear
Polyana Viana             ,Iasmin Lucindo            ,13_5_0    ,14_5_0    ,False   ,   0 ,   0 ,10_25      ,10_24      ,41_68        ,31_48        ,1 of 3   ,2 of 2   ,        0 ,        1 ,   118 ,   193 ,2_15    ,5_18    ,Submission              ,         2 ,            222 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Women's Bout       ,Iasmin Lucindo
Jaqueline Amorim          ,Montserrat Conejo Ruiz    ,6_1_0     ,10_3_0    ,False   ,   0 ,   0 ,86_136     ,6_36       ,141_208      ,20_57        ,1 of 3   ,1 of 1   ,        4 ,        0 ,   485 ,   219 ,76_120  ,2_29    ,KO/TKO                  ,         3 ,            221 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Women's Bout       ,Jaqueline Amorim
Josh Parisian             ,Martin Buday              ,15_6_0    ,12_1_0    ,False   ,   0 ,   0 ,26_61      ,42_67      ,27_63        ,62_91        ,0 of 0   ,1 of 1   ,        0 ,        1 ,    13 ,   116 ,15_49   ,35_60   ,Submission              ,         1 ,            251 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Martin Buday
Francis Marshall          ,Isaac Dulgarian           ,7_1_0     ,5_0_0     ,False   ,   0 ,   0 ,2_7        ,35_53      ,11_16        ,61_83        ,0 of 0   ,1 of 1   ,        0 ,        0 ,     0 ,   258 ,0_5     ,32_50   ,KO/TKO                  ,         1 ,            288 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Men's Bout         ,Isaac Dulgarian
Juliana Miller            ,Luana Santos              ,4_2_0     ,5_1_0     ,False   ,   0 ,   0 ,24_75      ,63_105     ,25_77        ,64_106       ,0 of 2   ,0 of 0   ,        0 ,        0 ,    29 ,    26 ,15_61   ,44_82   ,KO/TKO                  ,         1 ,            221 ,3 Rnd (5-5-5)        ,12-Aug-23 ,Women's Bout       ,Luana Santos
Dustin Jacoby             ,Kennedy Nzechukwu         ,18_7_1    ,12_3_0    ,False   ,   1 ,   0 ,10_33      ,4_18       ,10_33        ,4_18         ,0 of 0   ,0 of 0   ,        0 ,        0 ,     4 ,     0 ,5_28    ,3_14    ,KO/TKO                  ,         1 ,             82 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Dustin Jacoby
Jessica Andrade           ,Tatiana Suarez            ,25_11_0   ,10_0_0    ,False   ,   0 ,   0 ,11_29      ,23_49      ,13_31        ,25_51        ,0 of 0   ,3 of 3   ,        0 ,        1 ,    17 ,   142 ,2_14    ,3_20    ,Submission              ,         2 ,             91 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Women's Bout       ,Tatiana Suarez
Diego Lopes               ,Gavin Tucker              ,22_6_0    ,13_2_0    ,False   ,   0 ,   0 ,0_4        ,0_6        ,0_4          ,0_6          ,0 of 0   ,1 of 1   ,        3 ,        0 ,     0 ,    39 ,0_3     ,0_6     ,Submission              ,         1 ,             98 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Diego Lopes
Kyler Phillips            ,Raoni Barcelos            ,10_2_0    ,17_4_0    ,False   ,   1 ,   0 ,72_187     ,46_116     ,80_196       ,52_124       ,1 of 4   ,3 of 11  ,        0 ,        0 ,    47 ,   102 ,40_146  ,20_87   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Kyler Phillips
Tanner Boser              ,Aleksa Camur              ,20_10_1   ,6_2_0     ,False   ,   0 ,   0 ,120_215    ,68_136     ,145_253      ,105_175      ,0 of 0   ,0 of 1   ,        0 ,        0 ,   327 ,    61 ,78_163  ,34_97   ,Decision - Unanimous    ,         3 ,            300 ,3 Rnd (5-5-5)        ,5-Aug-23  ,Men's Bout         ,Tanner Boser
