R_fighter,B_fighter,R_record,B_record,Rematch,R_SIG_STR.,B_SIG_STR.,R_CTRL,B_CTRL,win_by,last_round,last_round_time,date,Fight_type,Winner,Excitement
Aljamain Sterling,Sean O'Malley,23_3_0,16_1_0,False,17_35,25_35,34,18,KO/TKO,2,51,19-Aug-23,Men's Title Bout,Sean O'Malley,30.971
Chris Weidman,Brad Tavares,15_6_0,19_9_0,False,37_92,70_115,81,0,Decision - Unanimous,3,300,19-Aug-23,Men's Bout,Brad Tavares,20.676
Neil Magny,Ian Garry,28_11_0,12_0_0,False,27_66,91_150,70,152,Decision - Unanimous,3,300,19-Aug-23,Men's Bout,Ian Garry,25.688
Marlon Vera,Pedro Munhoz,20_8_1,20_7_0,False,141_251,113_246,0,0,Decision - Unanimous,3,300,19-Aug-23,Men's Bout,Marlon Vera,23.489
Zhang Weili,Amanda Lemos,23_3_0,13_2_1,False,163_217,24_63,967,34,Decision - Unanimous,5,300,19-Aug-23,Women's Title Bout,Zhang Weili,21.48
Da'Mon Blackshear,Mario Bautista,14_5_1,12_2_0,False,90_174,79_137,180,244,Decision - Unanimous,3,300,19-Aug-23,Men's Bout,Mario Bautista,20.52
Gregory Rodrigues,Denis Tiuliulin,13_5_0,10_7_0,False,5_6,2_7,47,0,KO/TKO,1,103,19-Aug-23,Men's Bout,Gregory Rodrigues,17.664
Kurt Holobaugh,Austin Hubbard,20_7_0,16_6_0,False,61_119,44_107,68,143,Submission,2,159,19-Aug-23,Men's Bout,Kurt Holobaugh,15.808
Andre Petroski,Gerald Meerschaert,9_3_0,35_16_0,False,57_132,76_149,126,114,Decision - Split,3,300,19-Aug-23,Men's Bout,Andre Petroski,18.121
Karine Silva,Maryna Moroz,16_4_0,11_4_0,False,30_53,16_55,51,101,Submission,1,299,19-Aug-23,Women's Bout,Karine Silva,14.657
Andrea Lee,Natalia Silva,13_7_0,15_5_1,False,43_125,70_174,0,0,Decision - Unanimous,3,300,19-Aug-23,Women's Bout,Natalia Silva,19.793
Brad Katona,Cody Gibson,14_2_0,20_8_0,False,160_311,164_268,0,0,Decision - Unanimous,3,300,19-Aug-23,Men's Bout,Brad Katona,27.776
Khalil Rountree Jr.,Chris Daukaus,12_5_0,12_6_0,False,16_24,8_21,31,4,KO/TKO,1,160,12-Aug-23,Men's Bout,Khalil Rountree Jr.,20.829
Terrance McKinney,Mike Breeden,14_6_0,11_5_0,False,30_47,1_5,3,0,KO/TKO,1,85,12-Aug-23,Men's Bout,Terrance McKinney,21.358
AJ Dobson,Tafon Nchukwi,6_2_0,6_3_0,False,67_134,53_99,273,0,Decision - Unanimous,3,300,12-Aug-23,Men's Bout,AJ Dobson,20.266
Cub Swanson,Hakeem Dawodu,28_13_0,13_3_1,False,77_156,95_176,85,190,Decision - Unanimous,3,300,12-Aug-23,Men's Bout,Cub Swanson,19.666
JP Buys,Marcus McGhee,9_5_0,7_1_0,False,4_30,7_13,0,5,KO/TKO,1,139,12-Aug-23,Men's Bout,Marcus McGhee,22.548
Vicente Luque,Rafael Dos Anjos,21_9_1,32_14_0,False,72_141,66_136,721,234,Decision - Unanimous,5,300,12-Aug-23,Men's Bout,Vicente Luque,13.882
Josh Fremd,Jamie Pickett,10_5_0,13_9_0,False,31_80,14_52,435,181,Decision - Unanimous,3,300,12-Aug-23,Men's Bout,Josh Fremd,9.583
Da'Mon Blackshear,Jose Johnson,13_5_1,15_7_0,False,18_30,8_12,177,0,Submission,1,227,12-Aug-23,Men's Bout,Da'Mon Blackshear,14.123
Polyana Viana,Iasmin Lucindo,13_5_0,14_5_0,False,10_25,10_24,118,193,Submission,2,222,12-Aug-23,Women's Bout,Iasmin Lucindo,12.231
Jaqueline Amorim,Montserrat Conejo Ruiz,6_1_0,10_3_0,False,86_136,6_36,485,219,KO/TKO,3,221,12-Aug-23,Women's Bout,Jaqueline Amorim,14.771
Josh Parisian,Martin Buday,15_6_0,12_1_0,False,26_61,42_67,13,116,Submission,1,251,12-Aug-23,Men's Bout,Martin Buday,21.134
Francis Marshall,Isaac Dulgarian,7_1_0,5_0_0,False,2_7,35_53,0,258,KO/TKO,1,288,12-Aug-23,Men's Bout,Isaac Dulgarian,19.915
Juliana Miller,Luana Santos,4_2_0,5_1_0,False,24_75,63_105,29,26,KO/TKO,1,221,12-Aug-23,Women's Bout,Luana Santos,21.784
Dustin Jacoby,Kennedy Nzechukwu,18_7_1,12_3_0,False,10_33,4_18,4,0,KO/TKO,1,82,5-Aug-23,Men's Bout,Dustin Jacoby,18.273
Jessica Andrade,Tatiana Suarez,25_11_0,10_0_0,False,11_29,23_49,17,142,Submission,2,91,5-Aug-23,Women's Bout,Tatiana Suarez,22.153
Diego Lopes,Gavin Tucker,22_6_0,13_2_0,False,0_4,0_6,0,39,Submission,1,98,5-Aug-23,Men's Bout,Diego Lopes,13.191
Kyler Phillips,Raoni Barcelos,10_2_0,17_4_0,False,72_187,46_116,47,102,Decision - Unanimous,3,300,5-Aug-23,Men's Bout,Kyler Phillips,21.267
