R_fighter,B_fighter,Winner,Excitement
Aljamain Sterling,Sean O'Malley,Sean O'Malley,30.971
Chris Weidman,Brad Tavares,Brad Tavares,20.676
Neil Magny,Ian Garry,Ian Garry,25.688
Marlon Vera,Pedro Munhoz,Marlon Vera,23.489
Zhang Weili,Amanda Lemos,Zhang Weili,21.48
Da'Mon Blackshear,Mario Bautista,Mario Bautista,20.52
Gregory Rodrigues,Denis Tiuliulin,Gregory Rodrigues,17.664
Kurt Holobaugh,Austin Hubbard,Kurt Holobaugh,15.808
Andre Petroski,Gerald Meerschaert,Andre Petroski,18.121
Karine Silva,Maryna Moroz,Karine Silva,14.657
Andrea Lee,Natalia Silva,Natalia Silva,19.793
Brad Katona,Cody Gibson,Brad Katona,27.776
Khalil Rountree Jr.,Chris Daukaus,Khalil Rountree Jr.,20.829
Terrance McKinney,Mike Breeden,Terrance McKinney,21.358
AJ Dobson,Tafon Nchukwi,AJ Dobson,20.266
Cub Swanson,Hakeem Dawodu,Cub Swanson,19.666
JP Buys,Marcus McGhee,Marcus McGhee,22.548
Vicente Luque,Rafael Dos Anjos,Vicente Luque,13.882
Josh Fremd,Jamie Pickett,Josh Fremd,9.583
Da'Mon Blackshear,Jose Johnson,Da'Mon Blackshear,14.123
Polyana Viana,Iasmin Lucindo,Iasmin Lucindo,12.231
Jaqueline Amorim,Montserrat Conejo Ruiz,Jaqueline Amorim,14.771
Josh Parisian,Martin Buday,Martin Buday,21.134
Francis Marshall,Isaac Dulgarian,Isaac Dulgarian,19.915
Juliana Miller,Luana Santos,Luana Santos,21.784
Dustin Jacoby,Kennedy Nzechukwu,Dustin Jacoby,18.273
Jessica Andrade,Tatiana Suarez,Tatiana Suarez,22.153
Diego Lopes,Gavin Tucker,Diego Lopes,13.191
Kyler Phillips,Raoni Barcelos,Kyler Phillips,21.267
Tanner Boser,Aleksa Camur,Tanner Boser,19.044
Jeremiah Wells,Carlston Harris,Carlston Harris,10.436
Billy Quarantillo,Damon Jackson,Billy Quarantillo,14.785
Cory Sandhagen,Rob Font,Cory Sandhagen,7.118
Ignacio Bahamondes,Ludovit Klein,Ludovit Klein,14.532
Ode Osbourne,Assu Almabayev,Assu Almabayev,13.612
Sean Woodson,Dennis Buzukja,Sean Woodson,19.166
Cody Durden,Jake Hadley,Cody Durden,17.365
Dustin Poirier,Justin Gaethje,Justin Gaethje,53.92
Gabriel Bonfim,Trevin Giles,Gabriel Bonfim,15.84
Derrick Lewis,Marcos Rogerio de Lima,Derrick Lewis,11.751
CJ Vergara,Vinicius Salvador,CJ Vergara,23.923
Jan Blachowicz,Alex Pereira,Alex Pereira,21.13
Roman Kopylov,Claudio Ribeiro,Roman Kopylov,29.634
Michael Chiesa,Kevin Holland,Kevin Holland,16.181
Tony Ferguson,Bobby Green,Bobby Green,19.179
Jake Matthews,Darrius Flowers,Jake Matthews,20.385
Miranda Maverick,Priscila Cachoeira,Miranda Maverick,14.896
Matthew Semelsberger,Uros Medic,Uros Medic,25.895
Danny Roberts,Jonny Parsons,Jonny Parsons,18.134
Jai Herbert,Fares Ziam,Fares Ziam,15.611
Davey Grant,Daniel Marcos,Daniel Marcos,25.922
Molly McCann,Julija Stoliarenko,Julija Stoliarenko,16.281
Lerone Murphy,Josh Culibao,Lerone Murphy,24.862
